# x_m,y_m,w_tr_right_m,w_tr_left_m
-11.41953,17.21538,3.5,3.5
-12.89486,16.23405,3.5,3.5
-14.3715,15.27335,3.5,3.5
-15.8737,14.31479,3.5,3.5
-17.36016,13.382,3.5,3.5
-18.86874,12.44872,3.5,3.5
-20.37585,11.52747,3.5,3.5
-21.88628,10.61319,3.5,3.5
-23.4097,9.698179,3.5,3.5
-24.9204,8.79605,3.5,3.5
-26.44316,7.890253,3.5,3.5
-27.96338,6.987877,3.5,3.5
-29.48189,6.086861,3.5,3.5
-31.0075,5.180441,3.5,3.5
-32.52192,4.278035,3.5,3.5
-34.03971,3.369529,3.5,3.5
-35.5559,2.456467,3.5,3.5
-37.06578,1.540282,3.5,3.5
-38.57517,0.6160498,3.5,3.5
-40.07825,-0.3140717,3.5,3.5
-41.57644,-1.252353,3.5,3.5
-43.0699,-2.20034,3.5,3.5
-44.55622,-3.157952,3.5,3.5
-46.03509,-4.126446,3.5,3.5
-47.50635,-5.107255,3.5,3.5
-48.96934,-6.101501,3.5,3.5
-50.42066,-7.108467,3.5,3.5
-51.86414,-8.132489,3.5,3.5
-53.29461,-9.171671,3.5,3.5
-54.71032,-10.22648,3.5,3.5
-56.11709,-11.3032,3.5,3.5
-57.50446,-12.39584,3.5,3.5
-58.87747,-13.51035,3.5,3.5
-60.23372,-14.6471,3.5,3.5
-61.56568,-15.80188,3.5,3.5
-62.88446,-16.98686,3.5,3.5
-64.17609,-18.19218,3.5,3.5
-65.44337,-19.42286,3.5,3.5
-66.68735,-20.68294,3.5,3.5
-67.89799,-21.96505,3.5,3.5
-69.0835,-23.28098,3.5,3.5
-70.23355,-24.62277,3.5,3.5
-71.34765,-25.99288,3.5,3.5
-72.42652,-27.39584,3.5,3.5
-73.46234,-28.82505,3.5,3.5
-74.4574,-30.28724,3.5,3.5
-75.40634,-31.77847,3.5,3.5
-76.30667,-33.29836,3.5,3.5
-77.15666,-34.84766,3.5,3.5
-77.95451,-36.42695,3.5,3.5
-78.69451,-38.02789,3.5,3.5
-79.37914,-39.65884,3.5,3.5
-80.01502,-41.33601,3.5,3.5
-80.60709,-43.01767,3.5,3.5
-81.14604,-44.66354,3.5,3.5
-81.66606,-46.38877,3.5,3.5
-82.12773,-48.07434,3.5,3.5
-82.552,-49.80626,3.5,3.5
-82.92015,-51.52406,3.5,3.5
-83.23785,-53.27077,3.5,3.5
-83.49431,-55.0104,3.5,3.5
-83.6898,-56.77597,3.5,3.5
-83.81498,-58.52332,3.5,3.5
-83.86798,-60.30563,3.5,3.5
-83.84148,-62.05513,3.5,3.5
-83.72885,-63.83202,3.5,3.5
-83.52611,-65.58633,3.5,3.5
-83.22958,-67.31513,3.5,3.5
-82.82685,-69.04874,3.5,3.5
-82.32175,-70.74109,3.5,3.5
-81.7114,-72.39096,3.5,3.5
-80.9875,-74.00719,3.5,3.5
-80.15466,-75.56911,3.5,3.5
-79.21709,-77.06576,3.5,3.5
-78.1781,-78.49184,3.5,3.5
-77.04169,-79.84311,3.5,3.5
-75.81226,-81.11642,3.5,3.5
-74.50149,-82.30343,3.5,3.5
-73.11703,-83.4024,3.5,3.5
-71.66679,-84.41238,3.5,3.5
-70.15878,-85.33306,3.5,3.5
-68.60031,-86.16494,3.5,3.5
-66.99628,-86.90964,3.5,3.5
-65.35384,-87.56741,3.5,3.5
-63.6794,-88.13858,3.5,3.5
-61.9781,-88.62352,3.5,3.5
-60.25459,-89.02185,3.5,3.5
-58.51316,-89.3322,3.5,3.5
-56.75809,-89.55165,3.5,3.5
-54.99364,-89.67505,3.5,3.5
-53.2259,-89.69377,3.5,3.5
-51.4646,-89.59393,3.5,3.5
-49.72243,-89.34843,3.5,3.5
-48.00361,-88.94986,3.5,3.5
-46.31892,-88.41891,3.5,3.5
-44.67367,-87.77354,3.5,3.5
-43.07062,-87.02859,3.5,3.5
-41.51086,-86.19627,3.5,3.5
-39.9949,-85.28664,3.5,3.5
-38.52265,-84.30799,3.5,3.5
-37.09378,-83.26701,3.5,3.5
-35.708,-82.16941,3.5,3.5
-34.36475,-81.01964,3.5,3.5
-33.06388,-79.82172,3.5,3.5
-31.80527,-78.57901,3.5,3.5
-30.58895,-77.29439,3.5,3.5
-29.41552,-75.97092,3.5,3.5
-28.2866,-74.61254,3.5,3.5
-27.20046,-73.21883,3.5,3.5
-26.15779,-71.79166,3.5,3.5
-25.15918,-70.33247,3.5,3.5
-24.20556,-68.84294,3.5,3.5
-23.29794,-67.32454,3.5,3.5
-22.43855,-65.78086,3.5,3.5
-21.6272,-64.21104,3.5,3.5
-20.86493,-62.61591,3.5,3.5
-20.15332,-60.99723,3.5,3.5
-19.49384,-59.3564,3.5,3.5
-18.88836,-57.69592,3.5,3.5
-18.3381,-56.01651,3.5,3.5
-17.84447,-54.31916,3.5,3.5
-17.40914,-52.60555,3.5,3.5
-17.03377,-50.87745,3.5,3.5
